iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment;EDGEitems;EDGE_buildings
BIOGASES;AUTOELEC;;;;;;;
BIOGASES;AUTOHEAT;;;;;;;
BIOGASES;CHEMICAL;segabio;fega_chemicals;tdga_chemicals;1;;;
BIOGASES;COMMPUB;segabio;fegab;tdbiogab;1;;fesergas;natgas
BIOGASES;CONSTRUC;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;DISTLOSS;pebiolc;segabio;biogas;-1;;;
BIOGASES;DOMESNAV;segabio;fegat;tdbiogat;1;;fetragas;
BIOGASES;DOMESNAV;rep_gabio;rep_fega;rep_domnav;1;;;
BIOGASES;EBIOGAS;;;;;;;
BIOGASES;EGASWKS;;;;;;;
BIOGASES;ELAUTOC;pebiolc;seel;biochp;1;;;
BIOGASES;ELAUTOE;pebiolc;seel;bioigcc;1;;;
BIOGASES;ELMAINC;pebiolc;seel;biochp;1;;;
BIOGASES;ELMAINE;pebiolc;seel;bioigcc;1;;;
BIOGASES;ELOUTPUT;;;;;;;
BIOGASES;ENONSPEC;;;;;;;
BIOGASES;EPOWERPLT;;;;;;;
BIOGASES;EREFINER;segabio;fega_chemicals;tdga_chemicals;-1;;feindgas;
BIOGASES;EXPORTS;;;;;;;
BIOGASES;FISHING;segabio;fega_otherInd;tdga_otherInd;1;;feagrgas;
BIOGASES;FOODPRO;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;HEATOUT;;;;;;;
BIOGASES;HEAUTOC;pebiolc;sehe;biochp;1;;;
BIOGASES;HEAUTOH;pebiolc;sehe;biohp;1;;;
BIOGASES;HEMAINC;pebiolc;sehe;biochp;1;;;
BIOGASES;HEMAINH;pebiolc;sehe;biohp;1;;;
BIOGASES;IMPORTS;;;;;;;
BIOGASES;INDPROD;;;;;;;
BIOGASES;INONSPEC;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;IRONSTL;segabio;fega_steel;tdga_steel;1;;;
BIOGASES;MACHINE;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;MAINCHP;;;;;;;
BIOGASES;MAINELEC;;;;;;;
BIOGASES;MAINHEAT;;;;;;;
BIOGASES;MANUFACT;;;;;;;
BIOGASES;MINING;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;NONFERR;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;NONMET;segabio;fega_cement;tdga_cement;1;;;
BIOGASES;ONONSPEC;segabio;fegab;tdbiogab;1;;feothgas;
BIOGASES;PAPERPRO;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;PIPELINE;;;;;;;
BIOGASES;PIPELINE;rep_seliqbio;rep_fega;rep_pipl;1;;;
BIOGASES;RESIDENT;segabio;fegab;tdbiogab;1;;feresgas;natgas
BIOGASES;ROAD;segabio;fegat;tdbiogat;1;;fetragas;
BIOGASES;ROAD;rep_segabio;rep_fega;rep_road;1;;;
BIOGASES;STATDIFF;;;;;;;
BIOGASES;STOCKCHA;;;;;;;
BIOGASES;TBLENDGAS;;;;;;;
BIOGASES;TES;;;;;;;
BIOGASES;TEXTILES;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;TFC;pebiolc;segabio;biogas;1;;;
BIOGASES;TNONSPEC;;;;;;;
BIOGASES;TOTENGY;;;;;;;
BIOGASES;TOTIND;;;;;;feindgas;
BIOGASES;TOTOTHER;;;;;;;
BIOGASES;TOTTRANF;;;;;;;
BIOGASES;TOTTRANS;;;;;;;
BIOGASES;TRANSEQ;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASES;TRNONSPE;segabio;fegat;tdbiogat;1;;fetragas;
BIOGASES;TRNONSPE;rep_segabio;rep_fega;rep_trnonspe;1;;;
BIOGASES;WOODPRO;segabio;fega_otherInd;tdga_otherInd;1;;;
BIOGASOL;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;;feagrliquid;
BIOGASOL;AUTOELEC;;;;;;;
BIOGASOL;CHEMICAL;seliqbio;feli_chemicals;tdli_chemicals;1;;;
BIOGASOL;COMMPUB;seliqbio;fehob;tdbiohob;1;;feserliquid;petrol
BIOGASOL;CONSTRUC;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;DISTLOSS;;;;;;;
BIOGASOL;DOMESNAV;seliqbio;fedie;tdbiodie;1;;fetraliquid;
BIOGASOL;DOMESNAV;rep_liqbio;rep_fepet;rep_domnav;1;;;
BIOGASOL;ELAUTOC;pebiolc;seel;biochp;1;;;
BIOGASOL;ELAUTOE;pebiolc;seel;bioigcc;1;;;
BIOGASOL;ELMAINC;pebiolc;seel;biochp;1;;;
BIOGASOL;ELMAINE;pebiolc;seel;bioigcc;1;;;
BIOGASOL;ELOUTPUT;;;;;;;
BIOGASOL;EXPORTS;;;;;;;
BIOGASOL;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;;feagrliquid;
BIOGASOL;FOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;HEAUTOC;pebiolc;sehe;biochp;1;;;
BIOGASOL;HEMAINC;pebiolc;sehe;biochp;1;;;
BIOGASOL;IMPORTS;;;;;;;
BIOGASOL;INDPROD;;;;;;;
BIOGASOL;INONSPEC;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;IRONSTL;seliqbio;feli_steel;tdli_steel;1;;;
BIOGASOL;MACHINE;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;MAINELEC;;;;;;;
BIOGASOL;MANUFACT;;;;;;;
BIOGASOL;MINING;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;NONFERR;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;NONMET;seliqbio;feli_cement;tdli_cement;1;;;
BIOGASOL;ONONSPEC;seliqbio;fehob;tdbiohob;1;;feothliquid;
BIOGASOL;PAPERPRO;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;RESIDENT;seliqbio;fehob;tdbiohob;1;;feresliquid;petrol
BIOGASOL;ROAD;seliqbio;fepet;tdbiopet;1;;fetraliquid;
BIOGASOL;ROAD;rep_seliqbio;rep_fepet;rep_road;1;;;
BIOGASOL;STATDIFF;;;;;;;
BIOGASOL;STOCKCHA;;;;;;;
BIOGASOL;TES;;;;;;;
BIOGASOL;TEXTILES;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;TFC;pebios;seliqbio;bioeths;1;;;
BIOGASOL;TOTIND;;;;;;feindliquid;
BIOGASOL;TOTOTHER;;;;;;;
BIOGASOL;TOTTRANF;;;;;;;
BIOGASOL;TOTTRANS;;;;;;;
BIOGASOL;TRANSEQ;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOGASOL;TRANSFER;;;;;;;
BIOGASOL;TRNONSPE;seliqbio;fedie;tdbiodie;1;;fetraliquid;
BIOGASOL;TRNONSPE;rep_seliqbio;rep_fedie;rep_trnonspe;1;;;
BIOGASOL;WOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;;;
BIOJETKERO;AVBUNK;;;;;;;
BIOJETKERO;DOMESAIR;;;;;;;
BIOJETKERO;EXPORTS;;;;;;;
BIOJETKERO;IMPORTS;;;;;;;
BIOJETKERO;INDPROD;;;;;;;
BIOJETKERO;STATDIFF;;;;;;;
BIOJETKERO;STOCKCHA;;;;;;;
BIOJETKERO;TES;;;;;;;
BIOJETKERO;TFC;;;;;;;
BIOJETKERO;TOTTRANS;;;;;;;
BITCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;feagrsolid;
BITCOAL;AUTOCHP;;;;;;;
BITCOAL;AUTOELEC;;;;;;;
BITCOAL;AUTOHEAT;;;;;;;
BITCOAL;CHEMICAL;sesofos;feso_chemicals;tdso_chemicals;1;;;
BITCOAL;COMMPUB;sesofos;fesob;tdfossob;1;;fesercoal;coal
BITCOAL;CONSTRUC;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
BITCOAL;DOMESNAV;;;;;;;
BITCOAL;EBLASTFUR;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
BITCOAL;ECOALLIQ;;;;;;;
BITCOAL;ECOKEOVS;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
BITCOAL;EGASWKS;;;;;;;
BITCOAL;ELAUTOC;pecoal;seel;coalchp;1;;;
BITCOAL;ELAUTOE;pecoal;seel;pc;1;;;
BITCOAL;ELMAINC;pecoal;seel;coalchp;1;;;
BITCOAL;ELMAINE;pecoal;seel;pc;1;;;
BITCOAL;ELOUTPUT;;;;;;;
BITCOAL;EMINES;;;;;;;
BITCOAL;ENONSPEC;;;;;;;
BITCOAL;EPATFUEL;;;;;;;
BITCOAL;EPOWERPLT;;;;;;;
BITCOAL;EREFINER;;;;;;;
BITCOAL;EXPORTS;;;;;;;
BITCOAL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;feagrsolid;
BITCOAL;FOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;HEATOUT;;;;;;;
BITCOAL;HEAUTOC;pecoal;sehe;coalchp;1;;;
BITCOAL;HEAUTOH;pecoal;sehe;coalhp;1;;;
BITCOAL;HEMAINC;pecoal;sehe;coalchp;1;;;
BITCOAL;HEMAINH;pecoal;sehe;coalhp;1;;;
BITCOAL;IMPORTS;;;;;;;
BITCOAL;INDPROD;;;;;;;
BITCOAL;INONSPEC;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;IRONSTL;sesofos;feso_steel;tdso_steel;1;;;
BITCOAL;MACHINE;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;MAINCHP;;;;;;;
BITCOAL;MAINELEC;;;;;;;
BITCOAL;MAINHEAT;;;;;;;
BITCOAL;MANUFACT;;;;;;;
BITCOAL;MINING;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;NECHEM;;;;;;;
BITCOAL;NEINTREN;;;;;;;
BITCOAL;NEOTHER;;;;;;;
BITCOAL;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;;fenonsolid;
BITCOAL;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;;;
BITCOAL;NONENUSE;rep_seliq;rep_feho;rep_nonenergy;1;;;
BITCOAL;NONFERR;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;NONMET;sesofos;feso_cement;tdso_cement;1;;;
BITCOAL;ONONSPEC;sesofos;fesob;tdfossob;1;;feothsolid;
BITCOAL;PAPERPRO;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;RAIL;sesofos;feso_otherInd;tdso_otherInd;1;;feindsolid;
BITCOAL;RAIL;rep_sesofos;rep_feso;rep_rail;1;;;
BITCOAL;RESIDENT;sesofos;fesob;tdfossob;1;;ferescoal;coal
BITCOAL;STATDIFF;;;;;;;
BITCOAL;STOCKCHA;;;;;;;
BITCOAL;TBKB;;;;;;;
BITCOAL;TBLASTFUR;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
BITCOAL;TBLENDGAS;;;;;;;
BITCOAL;TCOALLIQ;;;;;;;
BITCOAL;TCOKEOVS;;;;;This flow is an input or output of coke ovens or blast furnaces that is already accounted for under IRONSTL after the tool_fix_IEA_data_for_Industry_subsectors function. Hence, it does not need to be mapped anymore.;;
BITCOAL;TES;;;;;;;
BITCOAL;TEXTILES;sesofos;feso_otherInd;tdso_otherInd;1;;;
BITCOAL;TFC;pecoal;sesofos;coaltr;1;;;
BITCOAL;TGASWKS;;;;;;;
BITCOAL;TNONSPEC;;;;;;;
BITCOAL;TOTENGY;;;;;;;
BITCOAL;TOTIND;;;;;;feindsolid;
BITCOAL;TOTOTHER;;;;;;;
BITCOAL;TOTTRANF;;;;;;;
BITCOAL;TOTTRANS;;;;;;;
BITCOAL;TPATFUEL;;;;;;;
BITCOAL;TRANSEQ;sesofos;feso_otherInd;tdso_otherInd;1;;;
