Country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S
Bahamas,All,Export,Value (USD 1000),USD 1000,5444,,8744,,6996,,8907,,11131,,12073,,13006,,14023,,15272,,19044,,19968,,22345,,29091,,22286,,45821,,54010,,53369,,47493,,60951,,59398,,57557,,61764,,61190,,102132,,109952,,73770,,91574,,108339,,87158,,78036,,95041,,84100,,82509,,65914,,74772,,76218,,82799,,92920,,70226,,63361,,66892,F,88161,F,74417,F
Bahamas,All,Import,Value (USD 1000),USD 1000,2091,,1625,,1625,F,665,F,4334,,2244,,3405,,3048,,3520,,4156,,4473,,4972,F,4221,,5922,,6287,,6541,,5889,,6093,,6433,,7662,,7510,F,8866,,9525,,10133,,14833,,13788,,14443,,13273,,14716,,16814,,18149,,17998,,21937,,20897,,20208,,22050,,26413,,22519,,25353,,24078,,20786,F,18557,F,19602,F
Bahamas,All,Reexports,Value (USD 1000),USD 1000,56,,0,.,0,.,0,.,0,.,174,,29,,0,.,1,,0,.,74,,438,,731,,0,.,0,.,443,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,40,,4,,0,0,177,,3,,22,,86,,170,,1069,,0,0,39,,0,0,27,,26,,0,.,26,,0,-,0,-,0,-
Bahrain,All,Export,Value (USD 1000),USD 1000,2253,,2280,,232,,0,.,11,,8,,3,,0,0,0,0,0,.,989,,2254,,1929,,2288,F,3170,,3264,,2655,,3768,,4445,,6192,,9652,,14283,,8753,,6925,,9559,,9913,,11832,,11528,,14024,,13026,,12568,,15600,,18820,,16238,,14293,,20874,,24786,,23074,,23570,,27366,,27189,,38922,,62705,
Bahrain,All,Import,Value (USD 1000),USD 1000,859,,1597,,1309,,1066,,1866,,2787,,2543,,3562,,3241,,3774,,3510,,3058,,3173,,3327,F,3704,,5034,,4600,,5506,,5470,,6368,,4996,,4825,,4216,,3203,,4733,,6629,,9653,,6909,,6956,,10944,,8279,,9052,,17107,,14431,,16530,,21213,,31348,,27203,,37825,,38473,,45922,,47367,,72564,
Bahrain,All,Reexports,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,128,,0,.,242,,67,,22,,98,,37,,30,,364,,0,.,336,,1628,,2073,,1145,,1361,,411,,1370,,0,.,6352,
Bangladesh,All,Export,Value (USD 1000),USD 1000,11922,,18066,,12876,,29758,,42705,,39724,,50208,,70260,,81219,,88653,,118154,,146853,,162402,,162455,,167050,,160817,,159023,,201505,,293376,,322854,,317229,,291651,,271597,,251868,,342617,,355893,,301484,,325111,,372691,,635077,,450515,,631244,,562565,,398243,,541466,,642909,,498659,,539326,,603607,,447913,,559838,F,497141,F,447906,F
Bangladesh,All,Import,Value (USD 1000),USD 1000,126,,123,,51,,99,,76,,12,,14,,0,0,0,.,0,.,1,,6,,14,,29,,3,,52,,197,,168,F,381,,803,,3343,,2302,,5122,,1653,F,4051,,7512,,10959,,6397,,13868,,5539,,3424,,7163,,7643,,21194,,21581,,19389,,20227,,35472,,55373,F,88448,,85851,F,93258,F,122095,F
Barbados,All,Export,Value (USD 1000),USD 1000,385,,998,,58,,37,,13,,74,,7,,46,,41,,46,,105,,100,F,425,,168,,156,,114,,183,,237,,330,,844,,515,,1503,,1226,,902,,1252,,1347,,928,,887,,878,,1440,,780,,993,,771,,340,,594,,546,,532,,357,,387,,465,,656,,412,,490,
Barbados,All,Import,Value (USD 1000),USD 1000,1732,,1950,,3236,,3579,,3013,,4596,,3991,,2928,,3580,,3813,,4123,,4240,F,4931,,6185,,6309,,6810,,6077,,6466,,7026,,8388,,7959,,9639,,6048,,11075,,10932,,12395,,13442,,13614,,11815,,17435,,18883,,18925,,20374,,18197,,18042,,22254,,25912,,22329,,24926,,25840,,23577,,26197,,29689,
Barbados,All,Reexports,Value (USD 1000),USD 1000,11,,51,,43,,225,,68,,24,,34,,0,.,0,.,21,,1,,0,.,0,.,43,,151,,94,,37,,16,,19,,27,,122,,57,,35,,49,,62,,45,,31,,0,.,0,.,15,,12,,0,0,0,.,21,,0,.,0,.,78,,71,,46,,42,,56,,21,,0,-
Belarus,All,Export,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2030,F,8750,F,5118,F,3459,F,16684,,14252,,19007,,15779,,20798,,38829,,51970,,60650,,83606,,107439,,138334,,98108,,113167,,150082,,188500,,268178,,319780,,258859,,255632,,324910,,339941,
Belarus,All,Import,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3615,F,9000,F,39588,,43639,,71045,F,76505,,58183,,88123,,93407,,102930,,113190,,150639,,204032,,249377,,286696,,342978,,299681,,279592,,298207,,363492,,486911,,513047,,385406,,361619,,409828,,430739,
Belgium,All,Export,Value (USD 1000),USD 1000,42761,,48215,,62849,,69763,,78986,,73355,,73128,,87412,,87813,,84658,,126639,,167618,,174887,,185666,,230504,,229827,,220036,,232483,,325790,,371479,,393222,,441835,,484964,,454867,,478577,,525532,,576372,,771307,,882910,,975101,,1158142,,1213593,,1284684,,1079841,,1140616,,1298704,,1075762,,1106353,,1205317,,1069004,,1148541,,1285343,,1181491,
Belgium,All,Import,Value (USD 1000),USD 1000,216298,,256515,,300395,,375507,,408381,,348974,,328059,,320191,,300250,,305346,,427918,,532330,,586806,,608738,,757462,,779070,,831210,,733640,,927730,,1041241,,972651,,985149,,1068456,,1075478,,1038537,,1005707,,1069334,,1396914,,1530953,,1666342,,1935975,,2129583,,2284883,,1953403,,2019433,,2314358,,2053310,,2165122,,2394019,,1993149,,2159397,,2330104,,2292171,
Belize,All,Export,Value (USD 1000),USD 1000,2899,,2883,,3496,,4800,,4468,,6434,,5983,,6977,,6663,,7383,,7178,,8436,,6239,,6704,,5209,,10243,,12034,,12318,,13248,,15764,,12427,,17935,,21848,,33288,,32284,,14057,,9511,,55128,,53968,,43023,,43069,,20856,,23838,,26284,,31334,,25408,,29053,,56499,,57297,,44637,,21634,,20432,,21539,
Belize,All,Import,Value (USD 1000),USD 1000,244,,295,,434,,604,,554,,371,,225,,141,,392,,434,,523,,748,,871,,1238,,519,,766,,939,,780,,707,,966,,740,,790,,1729,,2999,,3313,,1815,,1756,,2578,,1763,,2589,,2002,,1561,,2090,,1343,,1214,,454,,650,,602,,1262,,934,,952,,671,,905,
Belize,All,Reexports,Value (USD 1000),USD 1000,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,71,,269,,262,,0,.,0,.,0,.,0,.,125,,65,,134,,7,,0,.,0,.,0,.,0,.,18,,2,,0,.,0,.,141,,0,.,7,,10,,10,,0,.,0,.,0,.,4,,0,.,0,.,1,,0,.,0,0,0,-,0,-
Benin,All,Export,Value (USD 1000),USD 1000,173,,168,F,22,,46,,2,,16,,1,,0,.,55,,142,,391,,113,,260,F,180,F,120,F,139,F,56,,1030,F,1518,F,1263,F,1723,F,1414,F,1274,,940,,1467,,2408,,3210,,1934,,745,,997,,1185,,387,,33,,156,,1342,,1262,,374,,413,,919,,243,,138,,117,,58,
Benin,All,Import,Value (USD 1000),USD 1000,1549,,1771,,3372,,5173,,1896,,2127,,4708,,2065,,3187,,3830,F,6414,,1634,,2350,,936,,2030,F,6098,,8343,,11068,F,7123,F,9705,F,6512,F,6316,,5073,,7569,,8656,,4949,,8035,,10629,,11586,,16210,,19160,,24487,,32103,,27681,,27497,,32603,,35461,,39307,,112693,,93796,,117064,,91159,,105822,
