,LUH_orginal,ProductionItem,FAOItemCode,MAGsho,kcr,LUH2MAg,LUH2kcr,Cropgroup
90,c3per,521|Pears,521,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
91,c3per,523|Quinces,523,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
92,c3per,526|Apricots,526,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
93,c3per,"530|Cherries, sour",530,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
94,c3per,531|Cherries,531,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
95,c3per,534|Peaches and nectarines,534,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
96,c3per,536|Plums and sloes,536,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
97,c3per,"541|Fruit, stone nes",541,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
98,c3per,"542|Fruit, pome nes",542,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
99,c3per,547|Raspberries,547,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
100,c3per,549|Gooseberries,549,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
101,c3per,550|Currants,550,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
102,c3per,552|Blueberries,552,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
103,c3per,554|Cranberries,554,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
104,c3per,558|Berries nes,558,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
105,c3per,560|Grapes,560,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
106,c3per,569|Figs,569,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
107,c3per,"571|Mangoes, mangosteens, guavas",571,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
108,c3per,572|Avocados,572,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
109,c3per,574|Pineapples,574,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
110,c3per,577|Dates,577,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
111,c3per,587|Persimmons,587,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
112,c3per,591|Cashewapple,591,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
113,c3per,592|Kiwi fruit,592,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
114,c3per,600|Papayas,600,c3a,others,c3per.MAGc3a,c3per.others,Fruits Vegetables Nuts
